id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;jedinicna_cijena;selected;sifra_ponudjaca;karakteristika
1;77033;65484;74446;withdrawal Fully-configurable;Group;74113;10173;10266;true;26205;grey transmitter
2;50061;86351;52266;relationships;Right-sized;67434;95544;5224;true;59572;Pula Bedfordshire Connecticut
3;37441;19296;52733;Wooden Clothing;AGP Implementation Trace;49422;63640;10510;false;1774;Keyboard Chicken
4;68309;77727;44985;XSS Berkshire Track;Computers up;78399;38015;26119;false;39377;Pass magnetic Tuna
5;88864;57655;80730;Bedfordshire unleash Chicken;Wooden Denar;97019;41224;30567;true;54870;Synergized and
6;93368;59096;58274;Computer auxiliary;Auto Health Gardens;17400;32391;11746;true;37966;Maine Branch disintermediate
7;66810;75543;23274;Gorgeous;Account;96256;61117;14885;false;15331;Web aggregate Garden
8;89527;3948;14648;target cutting-edge Factors;payment applications Bedfordshire;86298;49869;5998;false;1391;Salad International
9;51710;11689;20619;Beauty Specialist;fresh-thinking;21053;71509;64774;false;82455;Paradigm
10;71449;76810;39807;Digitized red transmitter;connect Investment;77307;34108;74555;true;42072;Metal
