id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;naziv_ponudjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;jedinicna_cijena;selected
1;63868;45037;62795;index;haptic;Korean Lead Metal;45781;97862;8630;true
2;37541;33145;96940;haptic;Nebraska Uganda Fresh;Account;1676;93038;99229;false
3;34305;24862;58500;intuitive;bandwidth;cross-platform Senior experiences;80641;518;7082;true
4;15220;30633;68653;Nigeria;EXE Wooden;matrix compress;487;28530;67769;false
5;9103;16906;78568;Nicaragua AGP Fresh;Borders Rustic;Jewelery;3395;6914;34013;false
6;70534;46886;18977;Account;South;Metal;58410;87140;96778;true
7;7269;12716;95516;Cambridgeshire;markets strategy array;Universal Central salmon;60487;69092;50747;false
8;74448;65903;54527;Strategist black deposit;Texas;Facilitator user-centric visualize;34786;20277;80216;true
9;75190;49184;84845;Internal;indexing Estates;transform;6767;43249;71814;false
10;91593;22682;40650;Row Montana synthesize;program communities;seamless Japan seamless;46792;69535;77628;false
