id;naziv_ponudjaca;odgovorno_lice;adresa_ponudjaca;banka_racun
1;Generic;neural Pa'anga Cotton;repurpose;withdrawal
2;Iraqi;virtual;Directives Handmade;bypassing users Uganda
3;tan;24/7 Clothing;Utah;Health
4;GB invoice;Legacy even-keeled Senior;copying applications;protocol compressing Meadows
5;pink Cheese;Berkshire;Tasty structure;Home silver indexing
6;Paradigm cross-platform;Forward approach;quantify e-business Borders;Technician Balboa
7;Steel Jewelery innovate;Camp SQL;invoice;reboot Handmade
8;Orchestrator Pre-emptive;feed Uruguayo;Guilder;leverage Accounts
9;Granite Garden;Italy Computer Granite;iterate;copying
10;e-commerce West fuchsia;Borders Faso Oklahoma;Licensed withdrawal;knowledge
