id;sifra_postupka;broj_tendera;opis_postupka;vrsta_postupka;datum_objave;datum_otvaranja;kriterijum_cijena;drugi_kriterijum
1;28425;open-source Refined Brook;models artificial;Buckinghamshire Shoes Massachusetts;2022-08-13;2022-08-12;20072;15343
2;41786;hacking structure;Iowa;Realigned Gorgeous firmware;2022-08-12;2022-08-13;28316;99020
3;15054;iterate mobile;Garden Account Administrator;fuchsia Bike;2022-08-12;2022-08-13;85781;4073
4;41984;Account Universal Dollar;Analyst convergence;Shirt Organized;2022-08-12;2022-08-13;33707;54501
5;54534;Dinar;Principal background Gabon;JBOD;2022-08-12;2022-08-13;2457;71238
6;10478;Games Avon;deposit Movies Fresh;Intelligent Security drive;2022-08-12;2022-08-12;39591;17978
7;96251;Berkshire Central installation;Marketing Global;incubate program;2022-08-12;2022-08-13;40889;68514
8;91420;Representative Dinar;Representative Palau secondary;reboot Self-enabling;2022-08-12;2022-08-12;42990;32160
9;96701;Account bandwidth-monitored;Optional Plastic hacking;primary program;2022-08-13;2022-08-12;25990;64279
10;84571;Shirt Argentine;Chicken;Intelligent Qatar Plain;2022-08-12;2022-08-12;18656;24613
