id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;jedinicna_cijena;selected;naziv_ponudjaca;karakteristika
1;95773;73563;55142;hard Implementation;connecting;36290;51186;6880;false;Martinique violet Fresh;Cambridgeshire parsing Legacy
2;3779;93210;85648;communities New;action-items;95985;20472;91997;false;solutions Table Devolved;expedite Dam
3;97463;40778;90230;Pakistan Facilitator;Investment;34988;73704;26475;false;compelling;withdrawal withdrawal invoice
4;33690;63093;67815;Tactics Electronics Account;Corner Tuna Account;13575;55575;82488;false;eco-centric;deposit
5;69600;47533;35334;mission-critical engineer;B2C protocol static;24614;41277;15665;false;Account;Fundamental Rubber
6;7355;71745;38175;morph leverage multi-tasking;International virtual;37544;43104;44078;true;AGP;input
7;16152;86262;16577;Club;Cambridgeshire online Movies;14940;34058;1096;true;Manager Borders Account;paradigms
8;50349;66622;49609;optical Bedfordshire;invoice;99448;78859;42524;false;Berkshire;Strategist Sports
9;73412;37077;17642;Small;Markets copying;43326;70874;95811;true;JBOD USB cross-platform;Personal budgetary Account
10;70072;50531;57033;portal cohesive Home;systems Front-line;50426;74463;70545;true;Bacon parsing;withdrawal
