id;sifra_postupka;naziv_ponudjaca;sifra_ponude;broj_partije;atc;trazena_kolicina;procijenjena_vrijednost;naziv_proizvodjaca;zasticeni_naziv;jedinicna_cijena;ponudjena_vrijednost;rok_isporuke;vrsta_postupka;bod_cijena;bod_rok;bod_ukupno
1;43654;reintermediate structure;72854;26035;engage;4506;74624;Korea Steel calculating;Lead Account Won;44078;78214;95489;invoice Bike;33380;1475;78373
2;56168;Steel Ways;19188;7027;Human Crossroad Avon;97808;27504;South;software invoice infomediaries;48827;91140;55791;parsing withdrawal;60631;80482;83180
3;24610;bypassing;77276;71352;Pants Checking;21909;14575;Utah Frozen;Computers Frozen Open-architected;99534;56244;6518;Intuitive;86983;24011;88166
4;22435;application;37273;10165;payment Interface discrete;99125;43829;Credit Ville;Tuna;94658;66507;49758;one-to-one Clothing neutral;12062;88565;26385
5;60665;Tuna;45635;76119;panel innovative;10557;8334;Wooden;bandwidth;14461;28023;40627;Afghani;50455;24069;17767
6;51542;Street Assistant Plastic;54707;4495;Music;39012;37751;parse Rubber;throughput didactic Card;80876;99652;99187;Alabama Director;54465;65983;70075
7;31596;Mouse deposit;29851;13031;recontextualize Junction Sleek;30588;85076;Planner cutting-edge Frozen;Licensed Games web;399;14369;77512;Table deposit Bacon;67144;51047;69199
8;9670;Planner;14197;65149;Kwacha invoice;4724;19100;function Lead Books;back-end;53317;47475;89492;SSL;15811;33805;93242
9;34465;array Israel;2437;97783;array Gloves orchestration;23443;24196;capacity;bluetooth generate Gorgeous;88972;26240;19995;capacitor;63262;12292;93584
10;74479;Response Uganda;16199;27583;Utah utilisation override;1106;29316;hack Communications Tasty;bypassing Cloned;18395;54448;64475;parse;74830;68020;53752
