id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;jedinicna_cijena;naziv_ponudjaca;atc;trazena_kolicina;procijenjena_vrijednost;vrsta_postupka;bod_cijena;bod_rok;bod_ukupno
1;28686;15272;63329;seamless;Electronics;71588;92801;42381;Lead infomediaries Intelligent;Ergonomic;85539;89070;Analyst repurpose Table;53689;81294;63597
2;91195;70120;49946;bus;Frozen;61972;88070;17003;Checking calculate Grove;digital;71609;9470;Barbados input TCP;11567;48307;31615
3;21300;84389;66415;capacitor violet;San;28163;72579;11800;Awesome;tangible Analyst grow;83178;82005;parsing Computers incentivize;39761;36943;27325
4;66842;73363;64841;exploit Movies Springs;Chief;55998;19866;37101;Pizza;optimize parse;80371;71464;Bedfordshire;99743;89454;34169
5;43529;58591;31880;compress neural-net;architectures Niue Montana;53589;99284;51928;relationships;Secured Lilangeni;88607;36439;GB metrics;53028;57393;2484
6;95579;29855;41796;Car;Ameliorated;14943;3099;47286;Program;architect Qatar parse;64691;60772;Table Parkway;88007;22136;46302
7;1852;46149;52680;Supervisor application;Officer payment Identity;43861;88295;99192;Fresh;Kwacha Bedfordshire;62330;86283;Cambridgeshire Plaza;76984;68986;33637
8;73271;8238;18705;Gorgeous Salad Global;networks Suriname;74964;12553;15740;Islands Intelligent;purple Jewelery Granite;89339;52568;Frozen Indian ADP;15350;49713;85147
9;27348;22200;4731;Armenian;online;87848;4776;27746;Computer;deploy Frozen portal;99521;36645;Marketing Lebanese Music;79198;96298;48546
10;40099;6786;50025;override Bridge Multi-tiered;Customer microchip Implemented;55161;71426;8078;Handmade;synthesize Guarani plug-and-play;89150;72448;Money;97537;16856;3095
